,0
0,"Released
"
1,"AMD support
"
2,"Instruction set
"
3,"Microarchitecture
"
4,"Type
"
5,"Direct3D
"
6,"Shader model
"
7,"OpenGL
"
8,"Vulkan
"
9,"OpenCL
"
10,"HSA
"
11,"Video decoding ASIC
"
12,"Video encoding ASIC
"
13,"Power saving
"
14,"TrueAudio
"
15,"FreeSync
"
16,"HDCP[e]
"
17,"PlayReady[e]
"
18,"Supported displays[f]
"
19,"Max. resolution
"
20,"/drm/radeon[g]
"
21,"/drm/amdgpu[g]
"
22,"Wonder MDA/CGA
"
23,"Wonder EGA
"
24,"Wonder VGA
"
25,"Mach 8
"
26,"Mach 32
"
27,"Mach 64
"
28,"3D Rage
"
29,"3D Rage II
"
30,"Rage Pro
"
31,"Rage XL[11][12][13]
"
32,"Rage 128 VR
"
33,"Rage 128 GL
"
34,"Rage 128 Pro
"
35,"Rage 128 Ultra
"
36,"Rage Fury MAXX
"
37,"Radeon VE/7000
"
38,"Radeon LE/7100 (OEM)
"
39,"Radeon SDR/7200
"
40,"Radeon DDR/7200
"
41,"Radeon DDR/7500 VIVO
"
42,"Radeon DDR/7500 VIVO ""SE""
"
43,"Radeon 7500 LE
"
44,"Radeon 7500
"
45,"Radeon 320
"
46,"Radeon 330
"
47,"Radeon 340
"
48,"Radeon 8500
"
49,"Radeon 8500 LE
"
50,"Radeon 9000
"
51,"Radeon 9000 Pro
"
52,"Radeon 9100
"
53,"Radeon 9200
"
54,"Radeon 9200 SE
"
55,"Radeon 9250
"
56,"Radeon 9000
"
57,"Radeon 9100
"
58,"Radeon 9100 Pro
"
59,"Radeon 9500
"
60,"Radeon 9500 Pro
"
61,"Radeon 9550
"
62,"Radeon 9550 SE
"
63,"Radeon 9600
"
64,"Radeon 9600 Pro
"
65,"Radeon 9600 SE
"
66,"Radeon 9600 XT
"
67,"Radeon 9600 TX
"
68,"Radeon 9700 TX
"
69,"Radeon 9700
"
70,"Radeon 9700 Pro
"
71,"Radeon 9800
"
72,"Radeon 9800 XL
"
73,"Radeon 9800 XXL[15]
"
74,"Radeon 9800 Pro
"
75,"Radeon 9800 SE[17]
"
76,"Radeon 9800 XT
"
77,"Radeon X300
"
78,"Radeon X300 LE
"
79,"Radeon X300 SE
"
80,"Radeon X300 SE HyperMemory
"
81,"Radeon X550
"
82,"Radeon X600 Pro
"
83,"Radeon X600 XT
"
84,"Radeon X1050
"
85,"Radeon Xpress X200
"
86,"Radeon Xpress 1100 (originally Xpress 200)
"
87,"Radeon Xpress 1150 (originally Xpress 200 for Intel)
"
88,"Radeon X700
"
89,"Radeon X700 Pro
"
90,"Radeon X800 SE
"
91,"Radeon X800 GT
"
92,"Radeon X800
"
93,"Radeon X800 GTO
"
94,"Radeon X800 Pro
"
