,name
0,GeForce4 MX420
1,GeForce4 MX440 SE
2,GeForce4 MX4000
3,GeForce4 PCX4300
4,GeForce4 MX440
5,GeForce4 MX440 8X
6,GeForce4 MX460
7,GeForce4 Ti4200
8,GeForce4 Ti4200 8x
9,GeForce4 Ti4400
10,GeForce4 Ti4400 8x
11,GeForce4 Ti4600
12,GeForce4 Ti4600 8x
13,GeForce 6100
14,GeForce 6150 SE
15,GeForce 6150
16,GeForce 6150 LE
17,GeForce 6200
18,GeForce 6500
19,GeForce 6600 LE
20,GeForce 6600
21,GeForce 6600 DDR2
22,GeForce 6600 GT
23,GeForce 6800 LE
24,GeForce 6800 XT
25,GeForce 6800
26,GeForce 6800 GTO
27,GeForce 6800 GS
28,GeForce 6800 GT
29,GeForce 6800 Ultra
30,GeForce 7100 GS
31,GeForce 7200 GS
32,GeForce 7300 SE
33,GeForce 7300 LE
34,GeForce 7300 GS
35,GeForce 7300 GT
36,GeForce 7600 GS
37,GeForce 7600 GT
38,GeForce 7600 GT
39,GeForce 7650 GS
40,GeForce 7800 GS
41,GeForce 7800 GT
42,GeForce 7800 GTX
43,GeForce 7800 GTX 512
44,GeForce 7900 GS
45,GeForce 7900 GT
46,GeForce 7900 GTO
47,GeForce 7900 GTX
48,GeForce 7950 GT
49,GeForce 7950 GX2
50,GeForce 8100 mGPU
51,GeForce 8200 mGPU
52,GeForce 8300 mGPU
53,GeForce 8300 GS
54,GeForce 8400 GS
55,GeForce 8400 GS rev.2
56,GeForce 8400 GS rev.3
57,GeForce 8500 GT
58,GeForce 8600 GS
59,GeForce 8600 GT
60,GeForce 8600 GTS
61,GeForce 8800 GS
62,GeForce 8800 GTS
63,GeForce 8800 GTS 112
64,GeForce 8800 GT
65,GeForce 8800 GTS
66,GeForce 8800 GTX
67,GeForce 8800 Ultra
68,GeForce 8300 GS
69,GeForce 8400 GS Rev. 2
70,GeForce 8400 GS Rev. 3
71,GeForce 8500 GT
72,GeForce 8600 GT
73,GeForce 8600 GTS
74,GeForce 8800 GS
75,GeForce 8800 GTS
76,GeForce 8800 GTS Rev. 2
77,GeForce 8800 GT
78,GeForce 8800 GTS
79,GeForce 8800 GTX
80,GeForce 8800 Ultra
81,GeForce 9300 mGPU
82,GeForce 9400 mGPU
83,GeForce 9300 GE
84,GeForce 9300 GS
85,GeForce 9400 GT
86,GeForce 9500 GT
87,GeForce 9600 GS
88,GeForce 9600 GSO
89,GeForce 9600 GSO 512
90,GeForce 9600 GT Green Edition
91,GeForce 9600 GT
92,GeForce 9800 GT Green Edition
93,GeForce 9800 GT
94,GeForce 9800 GTX
95,GeForce 9800 GTX+
96,GeForce 9800 GX2
97,GeForce 9300 GE
98,GeForce 9300 GS
99,GeForce 9400 GT
100,GeForce 9500 GT
101,GeForce 9600 GSO
102,GeForce 9600 GT
103,GeForce 9800 GT
104,GeForce 9800 GTX
105,GeForce 9800 GTX+
106,GeForce 9800 GX2
107,GeForce G 100
108,GeForce GT 120
109,GeForce GT 130
110,GeForce GT 140
111,GeForce GTS 150
112,GeForce 205
113,GeForce 210
114,GeForce GT 220
115,GeForce GT 230
116,GeForce GT 240
117,GeForce GTS 240
118,GeForce GTS 250
119,GeForce GTX 260
120,GeForce GTX 275
121,GeForce GTX 280
122,GeForce GTX 285
123,GeForce GTX 295
124,GeForce 210
125,GeForce GT 220
126,GeForce GT 240
127,GeForce GTS 250
128,GeForce GTX 260
129,GeForce GTX 260 Core 216
130,GeForce GTX 260 Core 216
131,GeForce GTX 275
132,GeForce GTX 280
133,GeForce GTX 285
134,GeForce GTX 295
135,GeForce 310
136,GeForce 315
137,GeForce GT 320
138,GeForce GT 330
139,GeForce GT 340
140,GeForce 4057
141,GeForce GT 420
142,GeForce GT 430
143,GeForce GT 440
144,GeForce GTS 450
145,GeForce GTX 460 SE
146,GeForce GTX 460
147,GeForce GTX 465
148,GeForce GTX 470
149,GeForce GTX 480
150,GeForce 510
151,GeForce GT 520
152,GeForce GT 530
153,GeForce GT 545
154,GeForce GTX 550 Ti
155,GeForce GTX 555
156,GeForce GTX 560 SE
157,GeForce GTX 560
158,GeForce GTX 560 Ti
159,GeForce GTX 560 Ti 448 Cores
160,GeForce GTX 570
161,GeForce GTX 580
162,GeForce GTX 590
163,GeForce 6052
164,GeForce GT 6103
165,GeForce GT 6204
166,GeForce GT 625
167,GeForce GT 630
168,GeForce GT 635
169,GeForce GT 6408
170,GeForce GT 6459
171,GeForce GTX 645
172,GeForce GTX 650
173,GeForce GTX 650 Ti
174,GeForce GTX 650 Ti Boost
175,GeForce GTX 660
176,GeForce GTX 660 Ti
177,GeForce GTX 670
178,GeForce GTX 680
179,GeForce GTX 690
180,GeForce GT 705
181,GeForce GT 710
182,GeForce GT 720
183,GeForce GT 730
184,GeForce GT 7407
185,GeForce GTX 745
186,GeForce GTX 750
187,GeForce GTX 750 Ti
188,GeForce GTX 760 192-bit
189,GeForce GTX 760
190,GeForce GTX 760 Ti8
191,GeForce GTX 770
192,GeForce GTX 780
193,GeForce GTX 780 Ti
194,GeForce GTX TITAN
195,GeForce GTX TITAN Black
196,GeForce GTX TITAN Z
197,GeForce GT 945A
198,GeForce GTX 950
199,GeForce GTX 950
200,GeForce GTX 960
